"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,57,44,37,37,22
Admitidas,47,29,28,27,16
No admitidas,10,15,9,10,6
