"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,234,247,243,224,232
Admitidas (presentadas en el centro),187,189,191,188,200
Admitidas (presentadas en otro centro),0,10,10,9,12
No admitidas (presentadas en el centro),48,48,42,27,20
