"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,155,165,175,148,144
Admitidas (presentadas en el centro),115,113,104,116,117
Admitidas (presentadas en otro centro),0,4,4,4,5
No admitidas (presentadas en el centro),42,48,66,28,22
