"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,163,159,120,128,119
Admitidas,143,126,100,105,96
No admitidas,20,33,20,23,23
