"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,202,283,243,215,164
Admitidas (presentadas en el centro),103,95,106,103,101
Admitidas (presentadas en otro centro),0,11,7,5,5
No admitidas (presentadas en el centro),99,177,128,107,57
