"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,41,57,46
Admitidas (presentadas en el centro),32,35,40
Admitidas (presentadas en otro centro),0,1,0
No admitidas (presentadas en el centro),8,21,6
