"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,38,36
Admitidas (presentadas en el centro),28,28
Admitidas (presentadas en otro centro),3,3
No admitidas (presentadas en el centro),7,5
