"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,80,84,66,68,69
Admitidas,77,84,66,64,61
No admitidas,3,0,0,4,8
