"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,52,32,26,30,45
Admitidas,50,30,21,28,37
No admitidas,2,2,5,2,8
