"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,140,124,117,89,111
Admitidas,100,98,84,72,74
No admitidas,40,26,33,17,37
