"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,63,62,57,58,64
Admitidas (presentadas en el centro),41,52,53,57,59
Admitidas (presentadas en otro centro),0,2,3,1,1
No admitidas (presentadas en el centro),23,8,1,0,4
