"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,55,74,65
Admitidas (presentadas en el centro),34,44,40
Admitidas (presentadas en otro centro),1,0,1
No admitidas (presentadas en el centro),20,30,24
