"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,53,59,50,40,47
Admitidas (presentadas en el centro),37,53,44,33,36
Admitidas (presentadas en otro centro),0,2,3,2,2
No admitidas (presentadas en el centro),18,4,3,5,9
