"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,114,99,170,180,159
Admitidas,75,60,61,59,50
No admitidas,39,39,109,121,109
