"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,109,86,79,79,67
Admitidas,96,73,60,70,58
No admitidas,13,13,19,9,9
