"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,6,1,8,5
Admitidas,4,1,7,5
No admitidas,2,0,1,0
