"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,56,66,61,66,60
Admitidas,53,53,53,63,43
No admitidas,3,13,8,3,17
