"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,70,67,83,75,66
Admitidas,42,47,25,40,14
No admitidas,28,20,58,35,52
