"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,8,7,8,7,8
Admitidas,7,5,8,7,8
No admitidas,1,2,0,0,0
