"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,45,201
Admitidas (presentadas en el centro),21,181
Admitidas (presentadas en otro centro),0,3
No admitidas (presentadas en el centro),24,17
