"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,131,143,134,145,142
Admitidas (presentadas en el centro),93,102,102,108,96
Admitidas (presentadas en otro centro),0,1,2,2,4
No admitidas (presentadas en el centro),39,39,29,35,41
