"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,93,120,110,94,100
Admitidas (presentadas en el centro),51,43,48,48,52
Admitidas (presentadas en otro centro),0,5,6,6,7
No admitidas (presentadas en el centro),47,71,54,38,40
