"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,161,176,144,149,119
Admitidas (presentadas en el centro),103,98,104,92,101
Admitidas (presentadas en otro centro),0,6,2,4,2
No admitidas (presentadas en el centro),61,72,38,53,16
