"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024
Presentadas,3,0,3,2
Admitidas,2,0,3,2
No admitidas,1,0,0,0
