"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,80,85,78,86,76
Admitidas (presentadas en el centro),60,68,60,68,63
Admitidas (presentadas en otro centro),0,1,3,1,6
No admitidas (presentadas en el centro),23,15,15,17,7
