"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,43,76,158,76
Admitidas,28,60,104,49
No admitidas,15,16,54,27
