"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,78,57,46,52,70
Admitidas,75,53,45,52,60
No admitidas,3,4,1,0,10
