"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,4,9,1,4,3
Admitidas,3,7,1,4,1
No admitidas,1,2,0,0,2
