"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,9,14,14,11,14
Admitidas,9,9,7,6,9
No admitidas,0,5,7,5,5
