"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,78,91,91,81,76
Admitidas,61,54,52,66,52
No admitidas,17,37,39,15,24
