"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,51,63,48,49,51
Admitidas,43,50,40,36,49
No admitidas,8,13,8,13,2
