"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,7,2,8,26,18
Admitidas,7,2,1,12,8
No admitidas,0,0,7,14,10
