"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,204,220,162,192,185
Admitidas (presentadas en el centro),142,159,142,149,156
Admitidas (presentadas en otro centro),0,4,2,2,1
No admitidas (presentadas en el centro),71,57,18,41,27
