"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,92,122,94,83,102
Admitidas (presentadas en el centro),76,112,89,80,96
Admitidas (presentadas en otro centro),0,3,2,0,1
No admitidas (presentadas en el centro),16,7,3,3,5
