"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,39,40,70,57,36
Admitidas,20,11,0,1,1
No admitidas,19,29,70,56,35
