"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,37,25,38,43,39
Admitidas,34,25,38,39,37
No admitidas,4,0,0,4,2
