"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,110,77,76,88,124
Admitidas,107,67,64,66,84
No admitidas,3,10,12,22,40
