"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,48,58,39,29,46
Admitidas,41,51,37,25,36
No admitidas,7,7,2,4,10
