"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,155,173,139,101,115
Admitidas,155,149,138,89,107
No admitidas,0,24,1,12,8
