"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,2,8,12,6,8
Admitidas,2,6,8,6,5
No admitidas,0,2,4,0,3
