"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2023-2024,2024-2025
Presentadas en el centro,40,64
Admitidas (presentadas en el centro),19,35
Admitidas (presentadas en otro centro),4,1
No admitidas (presentadas en el centro),17,27
