"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,58,113,122
Admitidas (presentadas en el centro),17,34,31
Admitidas (presentadas en otro centro),1,1,0
No admitidas (presentadas en el centro),40,78,91
