"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,19,5,5,6,5
Admitidas,13,0,3,2,4
No admitidas,6,5,2,4,1
