"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,39,39,43,28,26
Admitidas,37,39,43,28,26
No admitidas,2,0,0,0,0
