"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,9,8,3,6,4
Admitidas,8,8,2,4,3
No admitidas,1,0,1,2,1
