"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,3,5,3,2
Admitidas,3,5,3,2
No admitidas,0,0,0,0
