"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,40,18,28,28,52
Admitidas,36,17,8,2,27
No admitidas,4,1,20,26,25
