"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,92,72,97,53,93
Admitidas,84,62,77,47,71
No admitidas,8,10,20,6,22
