"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,245,305,297,301,278
Admitidas (presentadas en el centro),175,180,183,174,175
Admitidas (presentadas en otro centro),0,3,2,6,6
No admitidas (presentadas en el centro),74,122,112,120,97
