"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,2,6,2,3,5
Admitidas,0,0,0,0,0
No admitidas,2,6,2,3,5
