"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,78,95,91,103,92
Admitidas,74,70,86,82,77
No admitidas,4,25,5,21,15
