"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,10,18,13,8,11
Admitidas,3,18,8,6,8
No admitidas,7,0,5,2,3
