"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,44,38,38,27,14
Admitidas,44,38,36,27,14
No admitidas,0,0,2,0,0
