"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024
Presentadas,5,4,0,2
Admitidas,3,4,0,1
No admitidas,2,0,0,1
