"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,5,1,13,28,14
Admitidas,4,0,6,19,5
No admitidas,1,1,7,9,9
