"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,22,5,18,13,18
Admitidas,17,0,2,0,0
No admitidas,5,5,16,13,18
