"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,41,23,35,23,49
Admitidas,40,14,6,5,10
No admitidas,1,9,29,18,39
