"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,5,14,6,9,5
Admitidas,1,0,2,3,4
No admitidas,4,14,4,6,1
