"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,28,9,46,34,23
Admitidas,26,9,29,18,4
No admitidas,2,0,17,16,19
