"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,55,49,46,26,27
Admitidas,51,48,37,26,25
No admitidas,4,1,9,0,2
