"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,46,59,63
Admitidas (presentadas en el centro),32,38,40
Admitidas (presentadas en otro centro),0,3,1
No admitidas (presentadas en el centro),14,18,22
