"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas,42,34,49,51,27
Admitidas,36,27,41,40,17
No admitidas,6,7,8,11,10
