"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2022-2023,2023-2024,2024-2025
Presentadas en el centro,51,67,69
Admitidas (presentadas en el centro),38,38,38
Admitidas (presentadas en otro centro),2,1,0
No admitidas (presentadas en el centro),11,27,31
