"PROCESO DE ADMISIÓN (solicitudes presentadas, admitidas, no admitidas)",2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
Presentadas en el centro,148,154,150,155,141
Admitidas (presentadas en el centro),108,115,105,102,121
Admitidas (presentadas en otro centro),0,4,6,3,4
No admitidas (presentadas en el centro),41,35,39,50,16
